RADIO LISTENING,A ASCULTA LA RADIO
SOIL POLLUTION,POLUAREA SOLULUI
FIREFIGHTERS,POMPIERI
EDUCATIONAL POPULATION,POPULAȚIA DIN SISTEMUL DE ÎNVĂȚĂMÂNT
WORLD POPULATION,POPULAȚIA LUMII
POPULATION,POPULAȚIE
SCHOOL-AGE POPULATION,POPULAȚIE DE VÂRSTĂ ȘCOLARĂ
RURAL POPULATION,POPULAȚIE RURALĂ
URBAN POPULATION,POPULAȚIE URBANĂ
INDIGENOUS POPULATIONS,POPULAȚII INDIGENE
DOMESTIC PIGS,PORCI DOMESTICI
PORNOGRAPHY,PORNOGRAFIE
PORTS,PORTURI
HOUSING TENURE,POSESIE ASUPRA LOCUINȚEI
POSSESSION OF STOLEN PROPERTY,POSESIE DE BUNURI FURATE
DRUG POSSESSION,POSESIE DE DROGURI
POST-MATERIALISM,POST-MATERIALISM
ELECTRONIC MAIL,POȘTĂ ELECTRONICĂ
FOOTPATHS,POTECI
RELIGIOUS PRACTICE,PRACTICĂ RELIGIOASĂ
ESOTERIC PRACTICES,PRACTICI EZOTERICE
PRESCHOOL CHILDREN,PREȘCOLARI
PREDESTINATION,PREDESTINARE
TUTORING,PREGĂTIRE
PREHISTORY,PREISTORIE
PREJUDICE,PREJUDECATĂ
RACIAL PREJUDICE,PREJUDECATĂ RASIALĂ
LECTURES,PRELEGERI
REWARDS,PREMII
FOOD PREPARATION,PREPARARE A ALIMENTELOR
PRESS,PRESĂ
LOCAL PRESS,PRESĂ LOCALĂ
NEWSPAPER PRESS,PRESĂ SCRISĂ
MEDICAL PRESCRIPTIONS,PRESCRIPȚII MEDICALE
PRESTIGE,PRESTIGIU
NATIONAL PRESTIGE,PRETIGIU NAȚIONAL
PRICES,PREȚURI
DETERRENCE (SOCIAL OFFENDERS),PREVENȚIE (DELINCVENȚI SOCIALI)
CRIME PREVENTION,PREVENIREA CRIMINALITĂȚII
FORECASTING,PREVIZIUNI
EDUCATIONAL FORECASTING,PREVIZIUNI EDUCAȚIONALE
ATTENDANCE,PREZENȚĂ
RELIGIOUS ATTENDANCE,PREZENȚA LA ACTIVITĂȚI RELIGIOASE
CINEMA ATTENDANCE,PREZENȚA LA CINEMATOGRAF
FORTUNE-TELLING,PREZICEREA VIITORULUI
PRESIDENCY,PREZIDENȚIE
FRIENDS,PRIETENI
MAYORS,PRIMARI
FIRST AID,PRIMUL AJUTOR
PRIVATIZATION,PRIVATIZARE
PRISONERS OF WAR,PRIZONERI DE RĂZBOI
PRISONERS,PRIZONIERI
PROBATION,PROBAȚIUNE
POPULATION PROBLEMS,PROBLEME ALE POPULAȚIEI
BEHAVIOURAL PROBLEMS,PROBLEME COMPORTAMENTALE
ILL HEALTH,PROBLEME DE SĂNĂTATE
ECONOMIC ISSUES,PROBLEME ECONOMICE GENERALE
MORAL PROBLEMS,PROBLEME MORALE
SEXUAL DIFFICULTIES,PROBLEME SEXUALE
SOCIAL PROBLEMS,PROBLEME SOCIALE
LEGAL PROCEDURE,PROCEDURĂ JURIDICĂ
SAMPLING PROCEDURES,PROCEDURI DE EȘANTIONARE
SMALL CLAIMS PROCEDURE,PROCEDURI PENTRU CREANȚE MICI
INDUSTRIAL RELATIONS PROCEDURES,PROCEDURI PRIVIND RELAȚIILE INDUSTRIALE
COMMUNICATION PROCESS,PROCES DE COMUNICARE
ARMAMENT PROCESS,PROCES DE ÎNARMARE
LEGISLATIVE PROCESS,PROCES LEGISLATIV
COGNITIVE PROCESSES,PROCESE COGNITIVE
MOTOR PROCESSES,PROCESE MOTORII
PRODUCTION,PRODUCȚIE
AGRICULTURAL PRODUCTION,PRODUCȚIE AGRICOLĂ
FOOD PRODUCTION,PRODUCȚIE ALIMENTARĂ
TELEVISION PRODUCTION,PRODUCȚIE DE TELEVIZIUNE
INDUSTRIAL PRODUCTION,PRODUCȚIE INDUSTRIALĂ
PRODUCTIVITY,PRODUCTIVITATE
LABOUR PRODUCTIVITY,PRODUCTIVITATEA MUNCII
GROSS DOMESTIC PRODUCT,PRODUS INTERN BRUT
GROSS NATIONAL PRODUCT,PRODUS NAȚIONAL BRUT
PRODUCTS,PRODUSE
AGRICULTURAL PRODUCTS,PRODUSE AGRICOLE
CEREAL PRODUCTS,PRODUSE CEREALIERE
ANIMAL PRODUCTS,PRODUSE DE ORIGINE ANIMALĂ
NURSING PROFESSION,PROFESIA DE ASISTENT MEDICAL
LEGAL PROFESSION,PROFESIA DE JURIST
TEACHING PROFESSION,PROFESIA PEDAGOGICĂ
MEDICAL PROFESSION,PROFESIE MEDICALĂ
WORKERS BY PROFESSION,PROFESII
COMMUNICATION PERSONNEL,PROFESII DIN DOMENIUL COMUNICĂRII
HEALTH PROFESSIONS,PROFESII DIN DOMENIUL SĂNĂTĂȚII
COURT OFFICIALS AND PERSONNEL,PROFESIUNI DIN SUBORDINEA TRIBUNALELOR ȘI CURȚILOR DE JUDECATĂ
PART-TIME TEACHERS,PROFESORI CU JUMĂTATE DE NORMĂ
SECONDARY SCHOOL TEACHERS,PROFESORI DE LICEU
PROFITS,PROFITURI
WEATHER FORECASTING,PROGNOZĂ METEO
COMPUTER PROGRAMMING,PROGRAMARE PE CALCULATOR
DEVELOPMENT PROGRAMMES,PROGRAME DE DEZVOLTARE
TELEVISION PROGRAMMES,PROGRAME DE TELEVIZIUNE
BASIC EDUCATION PROGRAMMES,PROGRAME EDUCAȚIONALE DE BAZĂ
GENERAL PROGRAMMES (FIELDS OF STUDY),PROGRAME GENERALE (DOMENII DE STUDIU)
COMPUTER SOFTWARE,PROGRAME PENTRU CALCULATOR
EMPLOYMENT PROGRAMMES,PROGRAME PENTRU OCUPAREA FORȚEI DE MUNCĂ
RADIO PROGRAMMES,PROGRAME RADIO
SOCIAL PROGRAMMES,PROGRAME SOCIALE
PROGRESS,PROGRES
SOCIAL PROGRESS,PROGRES SOCIAL
SCIENTIFIC PROGRESS,PROGRES ȘTIINȚIFIC
POPULATION PROJECTION,PROIECTARE DEMOGRAFICĂ
GROUP WORK (TEACHING METHOD),PROIECTE DE GRUP (METODĂ DE PREDARE)
PROMOTION (JOB),PROMOVARE (LOC DE MUNCĂ)
PHYSICAL PROPERTIES,PROPRIETĂȚI FIZICE
WATER PROPERTIES,PROPRIETĂȚILE APEI
LANDLORDS,PROPRIETARI
HOUSEHOLDERS,PROPRIETARI DE GOSPODĂRII
SHOPKEEPERS,PROPRIETARI DE MAGAZIN
LANDOWNERS,PROPRIETARI DE TERENURI
LAND OWNERSHIP,PROPRIETATE FUNCIARĂ
INTELLECTUAL PROPERTY,PROPRIETATE INTELECTUALĂ
PRIVATE OWNERSHIP,PROPRIETATE PRIVATĂ
PUBLIC OWNERSHIP,PROPRIETATE PUBLICĂ
CORPORATE OWNERSHIP,PROPRIETATEA UNEI CORPORAȚII
PROSTITUTION,PROSTITUȚIE
CONSUMER PROTECTION,PROTECȚIA CONSUMATORILOR
SAFETY AND SECURITY,PROTECȚIE ȘI SIGURANȚĂ
THEFT PROTECTION,PROTECȚIE ÎMPORIVA FURTULUI
RADIATION PROTECTION,PROTECȚIE ÎMPOTRIVA RADIAȚIILOR
PROTECTION FROM TERRORISM,PROTECȚIE ÎMPOTRIVA TERORISMULUI
SUN PROTECTION,PROTECȚIE SOLARĂ
PROTECTIONISM,PROTECȚIONISM
CONSERVATION,PROTEJARE
PRESERVATION OF BUILDINGS,PROTEJAREA CLĂDIRILOR
ENVIRONMENTAL CONSERVATION,PROTEJAREA MEDIULUI
PRESERVATION OF MONUMENTS,PROTEJAREA MONUMENTELOR
CONSERVATION OF NATURE,PROTEJAREA NATURII
FOREST PROTECTION,PROTEJAREA PĂDURILOR
LANDSCAPE PROTECTION,PROTEJAREA PEISAJELOR
RESOURCES CONSERVATION,PROTEJAREA RESURSELOR
COUNTRYSIDE CONSERVATION,PROTEJAREA SPAȚIULUI RURAL
WILDLIFE PROTECTION,PROTEJAREA VIEȚII SĂLBATICE
PICKETING,PROTEST
SOCIAL PROTEST,PROTEST SOCIAL
PROTESTANTISM,PROTESTANTISM
CLINICAL PROTOCOLS,PROTOCOALE CLINICE
PSYCHIATRY,PSIHIATRIE
PSYCHIATRISTS,PSIHIATRII
PSYCHOANALYSIS,PSIHOANALIZĂ
PSYCHOLOGISTS,PSIHOLOGI
ADOLESCENT PSYCHOLOGY,PSIHOLOGIA ADOLESCENȚEI
CHILD PSYCHOLOGY,PSIHOLOGIA COPILULUI
DEVELOPMENTAL PSYCHOLOGY,PSIHOLOGIA DEZVOLTĂRII
PSYCHOLOGY,PSIHOLOGIE
APPLIED PSYCHOLOGY,PSIHOLOGIE APLICATĂ
CLINICAL PSYCHOLOGY,PSIHOLOGIE CLINICĂ
EDUCATIONAL PSYCHOLOGY,PSIHOLOGIE EDUCAȚIONALĂ
OCCUPATIONAL PSYCHOLOGY,PSIHOLOGIE OCUPAȚIONALĂ
SOCIAL PSYCHOLOGY,PSIHOLOGIE SOCIALĂ
PSYCHOMETRICS,PSIHOMETRIE
PSYCHOPATHOLOGY,PSIHOPATOLOGIE
PSYCHOTHERAPY,PSIHOTERAPIE
PSORIASIS,PSORIAZIS
PUBERTY,PUBERTATE
EDUCATIONAL PUBLICATIONS,PUBLICAȚII EDUCAȚIONALE
PERIODICAL PRESS,PUBLICAȚII PERIODICE
EDUCATIONAL PERIODICALS,PUBLICAȚII PERIODICE EDUCAȚIONALE
ADVERTISING,PUBLICITATE
PRESS ADVERTISING,PUBLICITATE ÎN PRESĂ
INTERNET ADVERTISING,PUBLICITATE PE INTERNET
DIRECT MAILING,PUBLICITATE PRIN POȘTĂ
RADIO ADVERTISING,PUBLICITATE RADIO
TELEVISION ADVERTISING,PUBLICITATE TELEVIZATĂ
AUDIENCES,PUBLICURI
ECONOMIC POWER,PUTERE ECONOMICĂ
MILITARY POWER,PUTERE MILITARĂ
POLICE POWER,PUTERE POLIȚIENEASCĂ
POLITICAL POWER,PUTERE POLITICĂ
COMMON COLD,RĂCEALĂ COMUNĂ
RADICALISM,RADICALISM
RADIO,RADIO
EDUCATIONAL RADIO,RADIO EDUCAȚIONAL
RADIOTHERAPY,RADIOTERAPIE
PERSONAL DEBT REPAYMENT,RAMBURSAREA DATORIILOR PERSONALE
BIRTH ORDER,RANG AL NĂSCUTULUI VIU
INJURIES,RĂNI
WAR WOUNDED,RĂNIȚI ÎN RĂZBOI
TEACHER-STUDENT RATIO,RAPORTUL CADRU DIDACTIC-ELEV/STUDENT
RACISM,RASISM
ECONOMIC GROWTH RATE,RATĂ DE CREȘTERE ECONOMICĂ
DIVORCE RATE,RATA DIVORȚIALITĂȚII
MORTALITY RATE,RATA MORTALITĂȚII
BIRTH RATE,RATA NATALITĂȚII
MARRIAGE RATE,RATA NUPȚIALITĂȚII
INTEREST RATES,RATE ALE DOBÂNZII
BANK RATE,RATE BANCARE
RIVERS,RÂURI
WAR,RĂZBOI
CIVIL WAR,RĂZBOI CIVIL
INFORMATION WARFARE,RĂZBOI INFORMAȚIONAL
WORLD WAR,RĂZBOI MONDIAL
MEDICAL X-RAYS,RAZE X-MEDICALE
REHABILITATION (MEDICAL),REABILITARE (MEDICALĂ)
REHABILITATION (SOCIAL OFFENDERS),REABILITARE SOCIALĂ (DELINCVENȚI SOCIALI)
AUDIENCE REACTION,REACȚIA AUDIENȚELOR
IMMUNIZATION REACTIONS,REACȚII LA IMUNIZARE
ACHIEVEMENT,REALIZARE
RETRAINING,RECALIFICARE
ECONOMIC RECESSION,RECESIUNE ECONOMICĂ
RECYCLING,RECICLARE
RECIDIVISM,RECIDIVISM
CROPS,RECOLTĂ AGRICOLĂ
AGRICULTURAL YIELDS,RECOLTE AGRICOLE
ROOT CROPS,RECOLTE DE RĂDĂCINOASE
INDUSTRIAL CROPS,RECOLTE INDUSTRIALE
POSTWAR RECONSTRUCTION,RECONSTRUIRE POSTBELICĂ
RECRUITMENT,RECRUTARE
INTERNATIONAL RECRUITMENT,RECRUTARE INTERNAȚIONALĂ
MILITARY RECRUITMENT,RECRUTARE MILITARĂ
INFORMATION RETRIEVAL,RECUPERAREA INFORMAȚIILOR
DISCOUNT,REDUCERE
COST REDUCTION,REDUCERE DE COST
COMMUNICATION NETWORKS,REȚELE DE COMUNICAȚII
MOBILE PHONE NETWORKS,REȚELE DE TELEFONIE MOBILĂ
RAILWAY NETWORKS,REȚELE DE TRANSPORT FEROVIAR
SOCIAL NETWORKS,REȚELE SOCIALE
REFERENDUMS,REFERENDUMURI
REFUGES,REFIGIAȚI
REFLEXOLOGY,REFLEXOLOGIE
REFORM,REFORMĂ
ADMINISTRATIVE REFORM,REFORMĂ ADMINISTRATIVĂ
ECONOMIC REFORM,REFORMĂ ECONOMICĂ
EDUCATIONAL REFORM,REFORMĂ EDUCAȚIONALĂ
LAND REFORM,REFORMĂ FUNCIARĂ
LAW REFORM,REFORMĂ LEGISLATIVĂ
RELIGIOUS REFORM,REFORMĂ RELIGIOASĂ
SOCIAL REFORM,REFORMĂ SOCIALĂ
REFUGEES,REFUGIAȚI
REGIONALISM,REGIONALISM
EDUCATIONAL RECORDS,REGISTRE EDUCAȚIONALE
COUNTRYSIDE,REGIUNE RURALĂ
DEVELOPMENT AREAS (URBAN PLANNING),REGIUNI DE DEZVOLTARE (PLANIFICARE URBANĂ)
TELEVISION REGIONS,REGIUNI DE TELEVIZIUNE
DEPRESSED AREAS,REGIUNI SUBDEZVOLTATE
REARMAMENT,REÎNARMARE
REPOSSESSION (HOUSES),REINTRARE ÎN POSESIE
TEACHER-STUDENT RELATIONSHIP,RELAȚIA CADRU DIDACTIC-ELEV/STUDENT
PEER-GROUP RELATIONSHIPS,RELAȚIA CU GRUPUL DE REFERINȚĂ
SCHOOL-STUDENT RELATIONSHIP,RELAȚIA ELEV-ȘCOALĂ
POLICE-COMMUNITY RELATIONSHIP,RELAȚIE POLIȚIE-COMUNITATE
SAME-SEX RELATIONSHIPS,RELAȚII CU PERSOANE DE ACELAȘI SEX
CULTURAL RELATIONS,RELAȚII CULTURALE
LABOUR RELATIONS,RELAȚII DE MUNCĂ
FOREIGN RELATIONS,RELAȚII EXTERNE
HETEROSEXUAL RELATIONSHIPS,RELAȚII HETEROSEXUALE
INTERETHNIC RELATIONS,RELAȚII INTERETNICE
INTERGROUP RELATIONS,RELAȚII INTERGRUPALE
INTERNATIONAL RELATIONS,RELAȚII INTERNAȚIONALE
INTERPERSONAL RELATIONS,RELAȚII INTERPERSONALE
RACE RELATIONS,RELAȚII INTERRASIALE
WORKPLACE RELATIONS,RELAȚII LA LOCUL DE MUNCĂ
PUBLIC RELATIONS,RELAȚII PUBLICE
RELIGION,RELIGIE
SMOKING CESSATION,RENUNȚARE LA FUMAT
WAR REPARATIONS,REPARAȚII DE RĂZBOI
ALLOTMENTS,REPARTIȚII
REPATRIATION,REPATRIERE
MINISTERS OF RELIGION,REPREZENTANȚI AI CULTELOR RELIGIOASE
POLITICAL REPRESENTATION,REPREZENTARE POLITICĂ
PROPORTIONAL REPRESENTATION,REPREZENTARE PROPORȚIONALĂ
REPRODUCTION (BIOLOGICAL),REPRODUCERE (BIOLOGICĂ)
ANIMAL BREEDING,REPRODUCERE CONTROLATĂ LA ANIMALE
REPUBLIC,REPUBLICĂ
DEBT COLLECTORS,RESPONSABIL RECUPERĂRI CREANȚE
RESPONSIBILITY,RESPONSABILITĂȚI
DOMESTIC RESPONSIBILITIES,RESPONSABILITĂȚI CASNICE
STATE RESPONSIBILITY,RESPONSABILITĂȚI DE STAT
PARENT RESPONSIBILITY,RESPONSABILITĂȚI PARENTALE
POLITICAL ACCOUNTABILITY,RESPONSABILITATE POLITICĂ
SOCIAL RESPONSIBILITY,RESPONSABILITATE SOCIALĂ
RESTAURANTS,RESTAURANTE
URBAN RENEWAL,RESTAURARE URBANĂ
RESTRICTION ON MOVEMENT (PUNISHMENT),RESTRICȚIE PRIVIND PĂRĂSIREA DOMICILIULUI
CURRENCY RESTRICTIONS,RESTRICȚII MONETARE
SMOKING RESTRICTIONS,RESTRICȚII PENTRU FUMĂTORI
RESOURCES,RESURSE
SOIL RESOURCES,RESURSE ALE SOLULUI
FOOD RESOURCES,RESURSE ALIMENTARE
INFORMATION/LIBRARY RESOURCES,RESURSE BIBLIOTECARE/INFORMAȚIONALE
CULTURAL RESOURCES,RESURSE CULTURALE
WATER RESOURCES,RESURSE DE APĂ
COAL RESOURCES,RESURSE DE CĂRBUNE
FUEL RESOURCES,RESURSE DE COMBUSTIBILI
GAS RESOURCES,RESURSE DE GAZE NATURALE
OIL RESOURCES,RESURSE DE PETROL
ECONOMIC RESOURCES,RESURSE ECONOMICE
EDUCATIONAL RESOURCES,RESURSE EDUCAȚIONALE
ENERGY RESOURCES,RESURSE ENERGETICE
FINANCIAL RESOURCES,RESURSE FINANCIARE
FOREST RESOURCES,RESURSE FORESTIERE
LAND RESOURCES,RESURSE FUNCIARE
NATURAL RESOURCES,RESURSE NATURALE
RENEWABLE RESOURCES,RESURSE REGENERABILE
HUMAN RESOURCES,RESURSE UMANE
PLANT RESOURCES,RESURSE VEGETALE
RESUSCITATION,RESUSCITARE
ACADEMIC ACHIEVEMENT,REUȘITĂ ACADEMICĂ
RACE RIOTS,REVOLTĂ RASIALĂ
RIOTS,REVOLTE DE STRADĂ
MONEY SUPPLY,REZERVE BĂNEȘTI
NATURE RESERVES,REZERVE NATURALE
RESERVOIRS,REZERVOARE
RESIDENTS OF INSTITUTIONS,REZIDENȚI INSTITUȚIONALIZAȚI
PROBLEM SOLVING,REZOLVAREA PROBLEMELOR
RISK,RISC
RADIATION HAZARDS,RISC DE RADIAȚII
HAZARDS,RISCURI
FOOD HAZARDS,RISCURI ALIMENTARE
HEALTH RISKS,RISCURI DE SĂNĂTATE
RITES,RITURI
GOVERNMENT ROLE,ROL GUVERNAMENTAL
INTERNATIONAL ROLE,ROL INTERNAȚIONAL
PARENTAL ROLE,ROL PARENTAL
TEACHER ROLE,ROLUL CADRULUI DIDACTIC
WOMEN'S ROLE,ROLUL FEMEILOR
ROLES,ROLURI
GENDER ROLE,ROLURI DE GEN
FAMILY ROLES,ROLURI ÎN FAMILIE
RUBELLA,RUJEOLĂ
AIDS (DISEASE),S.I.D.A. (BOALA)
SABOTAGE,SABOTAJ
EMPLOYEES,SALARIAȚI
WAGES,SALARII
TEACHER SALARIES,SALARIILE CADRELOR DIDACTICE
EQUAL PAY,SALARIU EGAL
LOW PAY,SALARIU MIC
SEA RESCUE,SALVARE MARITIMĂ
HEALTH,SĂNĂTATE
DENTAL HEALTH,SĂNĂTATE DENTARĂ
MENTAL HEALTH,SĂNĂTATE MENTALĂ
ORAL HEALTH,SĂNĂTATE ORALĂ
PUBLIC HEALTH,SĂNĂTATE PUBLICĂ
SEXUAL HEALTH,SĂNĂTATE SEXUALĂ
ECONOMIC SANCTIONS,SANCȚIUNI ECONOMICE
INTERNATIONAL SANCTIONS,SANCȚIUNI INTERNAȚIONALE
SOCIAL SANCTIONS,SANCȚIUNI SOCIALE
SPORTING SANCTIONS,SANCȚIUNI SPORTIVE
BLOOD,SÂNGE
POVERTY,SĂRĂCIE
PREGNANCY,SARCINĂ (GRAVIDITATE)
VILLAGES,SATE
SATELLITES,SATELIȚI
JOB SATISFACTION,SATISFACȚIA CU LOCUL DE MUNCĂ
SATISFACTION,SATISFACȚIE
POPULATION DECREASE,SCĂDEREA POPULAȚIEI
ATTITUDE SCALES,SCALE DE ATITUDINE
STAIRS,SCĂRI
SKIING,SCHI
FOREIGN EXCHANGE,SCHIMB VALUTAR
ATTITUDE CHANGE,SCHIMBARE ATITUDINALĂ
CLIMATE CHANGE,SCHIMBARE CLIMATICĂ
CONSTITUTIONAL CHANGE,SCHIMBARE CONSTITUȚIONALĂ
CULTURAL CHANGE,SCHIMBARE CULTURALĂ
ROLE CHANGE,SCHIMBARE DE ROL
POLITICAL CHANGE,SCHIMBARE POLITICĂ
SOCIAL CHANGE,SCHIMBARE SOCIALĂ
TECHNOLOGICAL CHANGE,SCHIMBARE TEHNOLOGICĂ
JOB CHANGING,SCHIMBAREA LOCULUI DE MUNCĂ
ENVIRONMENTAL CHANGES,SCHIMBĂRI DE MEDIU
SCHIZOPHRENIA,SCHIZOFRENIE
SLAVES,SCLAVI
SLAVERY,SCLAVIE
CREATIVE WRITING,SCRIERE CREATIVĂ
TAX RELIEF,SCUTIRI DE TAXE ȘI IMPOZITE
DROUGHTS,SECETĂ
POLICE STATIONS,SECȚII DE POLIȚIE
PRIVATE SECTOR,SECTOR PRIVAT
PUBLIC SECTOR,SECTOR PUBLIC
AIRPORT SECURITY,SECURITATE AEROPORTUARĂ
STATE SECURITY,SECURITATE DE STAT
SOCIAL SECURITY,SECURITATE SOCIALĂ
JOB SECURITY,SECURITATEA LOCULUI DE MUNCĂ
RACIAL SEGREGATION,SEGREGARE RASIALĂ
RELIGIOUS SEGREGATION,SEGREGARE RELIGIOASĂ
STUDENT SELECTION,SELECȚIE A STUDENȚILOR
PERSONNEL SELECTION,SELECȚIE DE PERSONAL
NATURAL SELECTION,SELECȚIE NATURALĂ
SEMINARS,SEMINARII
SEEDS,SEMINȚE
UPPER HOUSE,SENAT
PRISON SENTENCES,SENTINȚĂ CU DETENȚIE
COURT ORDERS,SENTINȚE
SUSPENDED SENTENCES,SENTINȚE CU SUSPENDARE
SENSATION,SENZAȚIE
SEPARATISM,SEPARATISM
TIME SERIES,SERII DE TIMP
POLICE SERVICES,SERVICII ALE POLIȚIEI
LIBRARY SERVICES,SERVICII BIBLIOTECARE
COMMUNITY HEALTH SERVICES,SERVICII COMUNITARE DE SĂNĂTATE
CONSULAR SERVICES,SERVICII CONSULARE
WATER SERVICES (BUILDINGS),SERVICII DE ALIMENTARE CU APĂ (CLĂDIRI)
AMBULANCE SERVICES,SERVICII DE AMBULANȚĂ
MAIL ORDER SERVICES,SERVICII DE COMANDĂ PRIN POȘTĂ
FIRE-FIGHTING SERVICES,SERVICII DE COMBATERE A INCENDIILOR
DELIVERY SERVICES,SERVICII DE CURIERAT
MATERNITY SERVICES,SERVICII DE MATERNITATE
REMOVAL SERVICES,SERVICII DE MUTARE
COURT SUPPORT SERVICES,SERVICII DE REPREZENTARE ÎN INSTANȚĂ
RESPITE CARE,SERVICII DE RESPIRO
RESCUE SERVICES,SERVICII DE SALVARE
HEALTH SERVICES,SERVICII DE SĂNĂTATE
STATE HEALTH SERVICES,SERVICII DE SĂNĂTATE DE STAT
PRIVATE HEALTH SERVICES,SERVICII DE SĂNĂTATE ÎN UNITĂȚI PRIVATE
SECURITY SERVICES,SERVICII DE SECURITATE
EMERGENCY AND PROTECTIVE SERVICES,SERVICII DE URGENȚĂ ȘI PROTECȚIE
RETAIL SERVICES,SERVICII DE VÂNZARE CU AMĂNUNTUL
EDUCATIONAL PROVISION,SERVICII EDUCAȚIONALE
FINANCIAL SERVICES,SERVICII FINANCIARE
LOCAL GOVERNMENT SERVICES,SERVICII GUVERNAMENTALE LOCALE
COUNTER SERVICES,SERVICII LA GHIȘEU
ONLINE SERVICES,SERVICII ONLINE
CONSUMER SERVICES,SERVICII PENTRU CONSUMATORI
EMPLOYMENT SERVICES,SERVICII PENTRU OCUPAREA FORȚEI DE MUNCĂ
POSTAL SERVICES,SERVICII POȘTALE
PUBLIC SERVICES,SERVICII PUBLICE
SOCIAL SERVICES,SERVICII SOCIALE
PERSONAL SOCIAL SERVICES,SERVICII SOCIALE DE ÎNGRIJIRE PERSONALĂ
HOSPITAL SERVICES,SERVICII SPITALICEȘTI
MILITARY SERVICE,SERVICIU MILITAR
CONSCRIPTION,SERVICIU MILITAR OBLIGATORIU
CUSTOMER SERVICE,SERVICIUL DE RELAȚII CU CLIENȚI
PROSECUTION SERVICE,SERVICIUL DE URMĂRIRE PENALĂ
SERVANTS,SERVITORI
UNDERAGE SEX,SEXUL LA VÂRSTĂ MINORĂ
ADVICE,SFAT
HEALTH ADVICE,SFATURI MEDICALE
CHILD SAFETY,SIGURANȚA COPILULUI
DOMESTIC SAFETY,SIGURANȚĂ DOMESTICĂ
RAIL SAFETY,SIGURANȚĂ FEROVIARĂ
AIR SAFETY,SIGURANȚĂ ÎN TRAFICUL AERIAN
PRODUCT SAFETY,SIGURANȚA PRODUSELOR
OCCUPATIONAL SAFETY,SIGURANȚĂ PROFESONALĂ
NUCLEAR REACTOR SAFETY,SIGURANȚA REACTOARELOR NUCLEARE
ROAD SAFETY,SIGURANȚĂ RUTIERĂ
TRANSPORT SAFETY,SIGURANȚA TRANSPORTURILOR
VEHICLE SAFETY,SIGURANȚA VEHICULELOR
SIKHISM,SIKHISM
FORESTRY,SILVICULTURĂ
SYMPTOMS,SIMPTOME
TRADE UNIONS,SINDICATE
GENERAL SYNOD,SINOD GENERAL
SUICIDE,SINUCIDERE
CARDIOVASCULAR SYSTEM,SISTEM CARDIOVASCULAR
DIGESTIVE SYSTEM,SISTEM DIGESTIV
HAEMATOLOGIC SYSTEM,SISTEM HEMATOLOGIC
IMMUNE SYSTEM,SISTEM IMUNITAR
LYMPHATIC SYSTEM,SISTEM LIMFATIC
MUSCULOSKELETAL SYSTEM,SISTEM LOCOMOTOR
NERVOUS SYSTEM,SISTEM NERVOS
RESPIRATORY SYSTEM,SISTEM RESPIRATOR
SENSORY SYSTEM,SISTEM SENZORIAL
UROGENITAL SYSTEM,SISTEM UROGENITAL
DECIMAL SYSTEM,SISTEM ZECIMAL
ANATOMICAL SYSTEMS,SISTEME ANATOMICE
INTRUDER ALARM SYSTEMS,SISTEME DE ALARMĂ
ASSISTANCE ALARM SYSTEMS,SISTEME DE ALARMĂ PENTRU ASISTENȚĂ
HEATING SYSTEMS,SISTEME DE ÎNCĂLZIRE
PARTY SYSTEMS,SISTEME DE PARTID
SECURITY SYSTEMS,SISTEME DE SECURITATE
VEHICLE RESTRAINT SYSTEMS,SISTEME DE SIGURANȚĂ ALE VEHICULELOR
SECURITY SURVEILLANCE SYSTEMS,SISTEME DE SUPRAVEGHERE
TIME SYSTEMS,SISTEME DE TIMP
ECONOMIC SYSTEMS,SISTEME ECONOMICE
EDUCATIONAL SYSTEMS,SISTEME EDUCAȚIONALE
ELECTORAL SYSTEMS,SISTEME ELECTORALE
LEGAL SYSTEMS,SISTEME LEGALE
PARLIAMENTARY SYSTEMS,SISTEME PARLAMENTARE
POLITICAL SYSTEMS,SISTEME POLITICE
SOCIAL SYSTEMS,SISTEME SOCIALE
CRIMINAL JUSTICE SYSTEM,SISTEMUL DE JUSTIȚIE PENALĂ
EUROPEAN MONETARY SYSTEM,SISTEMUL MONETAR EUROPEAN
INTERNATIONAL MONETARY SYSTEM,SISTEMUL MONETAR INTERNAȚIONAL
SOCIABILITY,SOCIABILITATE
SOCIALISM,SOCIALISM
SOCIALIZATION,SOCIALIZARE
ECONOMIC SOCIALIZATION,SOCIALIZARE ECONOMICĂ
POLITICAL SOCIALIZATION,SOCIALIZARE POLITICĂ
CONTEMPORARY SOCIETY,SOCIETĂȚI CONTEMPORANE
CONSUMER SOCIETIES,SOCIETĂȚI DE CONSUM
FEUDAL SOCIETIES,SOCIETĂȚI FEUDALE
INDUSTRIAL SOCIETIES,SOCIETĂȚI INDUSTRIALE
POLITICAL SOCIETIES,SOCIETĂȚI POLITICE
RELIGIOUS SOCIETIES,SOCIETĂȚI RELIGIOASE
SECRET SOCIETIES,SOCIETĂȚI SECRETE
LEARNED SOCIETIES,SOCIETĂȚI ȘTIINȚIFICE
FUTURE SOCIETY,SOCIETATE A VIITORULUI
CHANGING SOCIETY,SOCIETATE ÎN SCHIMBARE
INFORMATION SOCIETY,SOCIETATE INFORMAȚIONALĂ
SOCIOLINGUISTICS,SOCIOLINGVISTICĂ
OCCUPATIONAL SOCIOLOGY,SOCIOLOGIA PROFESIILOR
