RO Preferred Term ,English PT
PROBLEME DE SĂNĂTATE,ILL HEALTH
PROBLEME ECONOMICE GENERALE,ECONOMIC ISSUES
PROBLEME MORALE,MORAL PROBLEMS
PROBLEME SEXUALE,SEXUAL DIFFICULTIES
PROBLEME SOCIALE,SOCIAL PROBLEMS
PROCEDURĂ JURIDICĂ,LEGAL PROCEDURE
PROCEDURI DE EȘANTIONARE,SAMPLING PROCEDURES
PROCEDURI PENTRU CREANȚE MICI,SMALL CLAIMS PROCEDURE
PROCEDURI PRIVIND RELAȚIILE INDUSTRIALE,INDUSTRIAL RELATIONS PROCEDURES
PROCES DE COMUNICARE,COMMUNICATION PROCESS
PROCES DE ÎNARMARE,ARMAMENT PROCESS
PROCES LEGISLATIV,LEGISLATIVE PROCESS
PROCESE COGNITIVE,COGNITIVE PROCESSES
PROCESE MOTORII,MOTOR PROCESSES
PRODUCȚIE,PRODUCTION
PRODUCȚIE AGRICOLĂ,AGRICULTURAL PRODUCTION
PRODUCȚIE ALIMENTARĂ,FOOD PRODUCTION
PRODUCȚIE DE TELEVIZIUNE,TELEVISION PRODUCTION
PRODUCȚIE INDUSTRIALĂ,INDUSTRIAL PRODUCTION
PRODUCTIVITATE,PRODUCTIVITY
PRODUCTIVITATEA MUNCII,LABOUR PRODUCTIVITY
PRODUS INTERN BRUT,GROSS DOMESTIC PRODUCT
PRODUS NAȚIONAL BRUT,GROSS NATIONAL PRODUCT
PRODUSE,PRODUCTS
PRODUSE AGRICOLE,AGRICULTURAL PRODUCTS
PRODUSE CEREALIERE,CEREAL PRODUCTS
PRODUSE DE ORIGINE ANIMALĂ,ANIMAL PRODUCTS
PROFESIA DE ASISTENT MEDICAL,NURSING PROFESSION
PROFESIA DE JURIST,LEGAL PROFESSION
PROFESIA PEDAGOGICA,TEACHING PROFESSION
PROFESIE MEDICALĂ,MEDICAL PROFESSION
PROFESII,WORKERS BY PROFESSION
PROFESII DIN DOMENIUL COMUNICĂRII,COMMUNICATION PERSONNEL
PROFESII DIN DOMENIUL SĂNĂTĂȚII,HEALTH PROFESSIONS
PROFESIUNI DIN SUBORDINEA TRIBUNALELOR ȘI CURȚILOR DE JUDECATĂ,COURT OFFICIALS AND PERSONNEL
PROFESORI CU JUMĂTATE DE NORMĂ,PART-TIME TEACHERS
PROFESORI DE LICEU,SECONDARY SCHOOL TEACHERS
PROFITURI,PROFITS
PROGNOZĂ METEO,WEATHER FORECASTING
PROGRAMARE PE CALCULATOR,COMPUTER PROGRAMMING
PROGRAME DE DEZVOLTARE,DEVELOPMENT PROGRAMMES
PROGRAME DE TELEVIZIUNE,TELEVISION PROGRAMMES
PROGRAME EDUCAȚIONALE DE BAZĂ,BASIC EDUCATION PROGRAMMES
PROGRAME GENERALE (DOMENII DE STUDIU),GENERAL PROGRAMMES (FIELDS OF STUDY)
PROGRAME PENTRU CALCULATOR,COMPUTER SOFTWARE
PROGRAME PENTRU OCUPAREA FORȚEI DE MUNCĂ,EMPLOYMENT PROGRAMMES
PROGRAME RADIO,RADIO PROGRAMMES
PROGRAME SOCIALE,SOCIAL PROGRAMMES
PROGRES,PROGRESS
PROGRES SOCIAL,SOCIAL PROGRESS
PROGRES ȘTIINȚIFIC,SCIENTIFIC PROGRESS
PROIECTARE DEMOGRAFICĂ,POPULATION PROJECTION
PROIECTE DE GRUP (METODĂ DE PREDARE),GROUP WORK (TEACHING METHOD)
PROMOVARE (LOC DE MUNCĂ),PROMOTION (JOB)
PROPRIETĂȚI FIZICE,PHYSICAL PROPERTIES
PROPRIETĂȚILE APEI,WATER PROPERTIES
PROPRIETARI,LANDLORDS
PROPRIETARI DE GOSPODĂRII,HOUSEHOLDERS
PROPRIETARI DE MAGAZIN,SHOPKEEPERS
PROPRIETARI DE TERENURI,LANDOWNERS
PROPRIETATE FUNCIARĂ,LAND OWNERSHIP
PROPRIETATE INTELECTUALĂ,INTELLECTUAL PROPERTY
PROPRIETATE PRIVATĂ,PRIVATE OWNERSHIP
PROPRIETATE PUBLICĂ,PUBLIC OWNERSHIP
PROPRIETATEA UNEI CORPORAȚII,CORPORATE OWNERSHIP
PROSTITUȚIE,PROSTITUTION
PROTECȚIA CONSUMATORILOR,CONSUMER PROTECTION
PROTECȚIE ȘI SIGURANȚĂ,SAFETY AND SECURITY
PROTECȚIE ÎMPORIVA FURTULUI,THEFT PROTECTION
PROTECȚIE ÎMPOTRIVA RADIAȚIILOR,RADIATION PROTECTION
PROTECȚIE ÎMPOTRIVA TERORISMULUI,PROTECTION FROM TERRORISM
PROTECȚIE SOLARĂ,SUN PROTECTION
PROTECȚIONISM,PROTECTIONISM
PROTEJARE,CONSERVATION
PROTEJAREA CLĂDIRILOR,PRESERVATION OF BUILDINGS
PROTEJAREA MEDIULUI,ENVIRONMENTAL CONSERVATION
PROTEJAREA MONUMENTELOR,PRESERVATION OF MONUMENTS
PROTEJAREA NATURII,CONSERVATION OF NATURE
PROTEJAREA PĂDURILOR,FOREST PROTECTION
PROTEJAREA PEISAJELOR,LANDSCAPE PROTECTION
PROTEJAREA RESURSELOR,RESOURCES CONSERVATION
PROTEJAREA SPAȚIULUI RURAL,COUNTRYSIDE CONSERVATION
PROTEJAREA VIEȚII SĂLBATICE,WILDLIFE PROTECTION
PROTEST,PICKETING
PROTEST SOCIAL,SOCIAL PROTEST
PROTESTANTISM,PROTESTANTISM
PROTOCOALE CLINICE,CLINICAL PROTOCOLS
PSIHIATRIE,PSYCHIATRY
PSIHIATRII,PSYCHIATRISTS
PSIHOANALIZĂ,PSYCHOANALYSIS
PSIHOLOGI,PSYCHOLOGISTS
PSIHOLOGIA ADOLESCENȚEI,ADOLESCENT PSYCHOLOGY
PSIHOLOGIA COPILULUI,CHILD PSYCHOLOGY
PSIHOLOGIA DEZVOLTĂRII,DEVELOPMENTAL PSYCHOLOGY
PSIHOLOGIE,PSYCHOLOGY
PSIHOLOGIE APLICATĂ,APPLIED PSYCHOLOGY
PSIHOLOGIE CLINICĂ,CLINICAL PSYCHOLOGY
PSIHOLOGIE EDUCAȚIONALĂ,EDUCATIONAL PSYCHOLOGY
PSIHOLOGIE OCUPAȚIONALĂ,OCCUPATIONAL PSYCHOLOGY
PSIHOLOGIE SOCIALĂ,SOCIAL PSYCHOLOGY
PSIHOMETRIE,PSYCHOMETRICS
PSIHOPATOLOGIE,PSYCHOPATHOLOGY
PSIHOTERAPIE,PSYCHOTHERAPY
PSORIAZIS,PSORIASIS
PUBERTATE,PUBERTY
PUBLICAȚII EDUCAȚIONALE,EDUCATIONAL PUBLICATIONS
PUBLICAȚII PERIODICE,PERIODICAL PRESS
PUBLICAȚII PERIODICE EDUCAȚIONALE,EDUCATIONAL PERIODICALS
PUBLICITATE,ADVERTISING
PUBLICITATE ÎN PRESĂ,PRESS ADVERTISING
PUBLICITATE PE INTERNET,INTERNET ADVERTISING
PUBLICITATE PRIN POȘTĂ,DIRECT MAILING
PUBLICITATE RADIO,RADIO ADVERTISING
PUBLICITATE TELEVIZATĂ,TELEVISION ADVERTISING
PUBLICURI,AUDIENCES
PUTERE ECONOMICĂ,ECONOMIC POWER
PUTERE MILITARĂ,MILITARY POWER
PUTERE POLIȚIENEASCĂ,POLICE POWER
PUTERE POLITICĂ,POLITICAL POWER
RĂCEALĂ COMUNĂ,COMMON COLD
RADICALISM,RADICALISM
RADIO,RADIO
RADIO EDUCAȚIONAL,EDUCATIONAL RADIO
RADIOTERAPIE,RADIOTHERAPY
RAMBURSAREA DATORIILOR PERSONALE,PERSONAL DEBT REPAYMENT
RANG AL NĂSCUTULUI VIU,BIRTH ORDER
RĂNI,INJURIES
RĂNIȚI ÎN RĂZBOI,WAR WOUNDED
RAPORTUL CADRU DIDACTIC-ELEV/STUDENT,TEACHER-STUDENT RATIO
RASISM,RACISM
RATĂ DE CREȘTERE ECONOMICĂ,ECONOMIC GROWTH RATE
RATA DIVORȚIALITĂȚII,DIVORCE RATE
RATA MORTALITĂȚII,MORTALITY RATE
RATA NATALITĂȚII,BIRTH RATE
RATA NUPȚIALITĂȚII,MARRIAGE RATE
RATE ALE DOBÂNZII,INTEREST RATES
RATE BANCARE,BANK RATE
RÂURI,RIVERS
RĂZBOI,WAR
RĂZBOI CIVIL,CIVIL WAR
RĂZBOI INFORMAȚIONAL,INFORMATION WARFARE
RĂZBOI MONDIAL,WORLD WAR
RAZE X-MEDICALE,MEDICAL X-RAYS
REABILITARE (MEDICALĂ),REHABILITATION (MEDICAL)
REABILITARE SOCIALĂ (DELINCVENȚI SOCIALI),REHABILITATION (SOCIAL OFFENDERS)
REACȚIA AUDIENȚELOR,AUDIENCE REACTION
REACȚII LA IMUNIZARE,IMMUNIZATION REACTIONS
REALIZARE,ACHIEVEMENT
RECALIFICARE,RETRAINING
RECESIUNE ECONOMICĂ,ECONOMIC RECESSION
RECICLARE,RECYCLING
RECIDIVISM,RECIDIVISM
RECOLTĂ AGRICOLĂ,CROPS
RECOLTE AGRICOLE,AGRICULTURAL YIELDS
RECOLTE DE RĂDĂCINOASE,ROOT CROPS
RECOLTE INDUSTRIALE,INDUSTRIAL CROPS
RECONSTRUIRE POSTBELICĂ,POSTWAR RECONSTRUCTION
RECRUTARE,RECRUITMENT
RECRUTARE INTERNAȚIONALĂ,INTERNATIONAL RECRUITMENT
RECRUTARE MILITARĂ,MILITARY RECRUITMENT
RECUPERAREA INFORMAȚIILOR,INFORMATION RETRIEVAL
REDUCERE DE COST,COST REDUCTION
REȚELE DE COMUNICAȚII,COMMUNICATION NETWORKS
REȚELE DE TELEFONIE MOBILĂ,MOBILE PHONE NETWORKS
REȚELE DE TRANSPORT FEROVIAR,RAILWAY NETWORKS
REȚELE SOCIALE,SOCIAL NETWORKS
REFERENDUMURI,REFERENDUMS
REFIGIAȚI,REFUGES
REFLEXOLOGIE,REFLEXOLOGY
REFORMĂ,REFORM
REFORMĂ ADMINISTRATIVĂ,ADMINISTRATIVE REFORM
REFORMĂ ECONOMICĂ,ECONOMIC REFORM
REFORMĂ EDUCAȚIONALĂ,EDUCATIONAL REFORM
REFORMĂ FUNCIARĂ,LAND REFORM
REFORMĂ LEGISLATIVĂ,LAW REFORM
REFORMĂ RELIGIOASĂ,RELIGIOUS REFORM
REFORMĂ SOCIALĂ,SOCIAL REFORM
REFUGIAȚI,REFUGEES
REGIONALISM,REGIONALISM
REGISTRE EDUCAȚIONALE,EDUCATIONAL RECORDS
REGIUNE RURALĂ,COUNTRYSIDE
REGIUNI DE DEZVOLTARE (PLANIFICARE URBANĂ),DEVELOPMENT AREAS (URBAN PLANNING)
REGIUNI DE TELEVIZIUNE,TELEVISION REGIONS
REGIUNI SUBDEZVOLTATE,DEPRESSED AREAS
REÎNARMARE,REARMAMENT
REINTRARE ÎN POSESIE,REPOSSESSION (HOUSES)
RELAȚIA CADRU DIDACTIC-ELEV/STUDENT,TEACHER-STUDENT RELATIONSHIP
RELAȚIA CU GRUPUL DE REFERINȚĂ,PEER-GROUP RELATIONSHIPS
RELAȚIA ELEV-ȘCOALĂ,SCHOOL-STUDENT RELATIONSHIP
RELAȚIE POLIȚIE-COMUNITATE,POLICE-COMMUNITY RELATIONSHIP
RELAȚII CU PERSOANE DE ACELAȘI SEX,SAME-SEX RELATIONSHIPS
RELAȚII CULTURALE,CULTURAL RELATIONS
RELAȚII DE MUNCĂ,LABOUR RELATIONS
RELAȚII EXTERNE,FOREIGN RELATIONS
RELAȚII HETEROSEXUALE,HETEROSEXUAL RELATIONSHIPS
RELAȚII INTERETNICE,INTERETHNIC RELATIONS
RELAȚII INTERGRUPALE,INTERGROUP RELATIONS
RELAȚII INTERNAȚIONALE,INTERNATIONAL RELATIONS
RELAȚII INTERPERSONALE,INTERPERSONAL RELATIONS
RELAȚII INTERRASIALE,RACE RELATIONS
RELAȚII LA LOCUL DE MUNCĂ,WORKPLACE RELATIONS
RELAȚII PUBLICE,PUBLIC RELATIONS
RELIGIE,RELIGION
RENUNȚARE LA FUMAT,SMOKING CESSATION
REPARAȚII DE RĂZBOI,WAR REPARATIONS
REPARTIȚII,ALLOTMENTS
REPATRIERE,REPATRIATION
REPREZENTANȚI AI CULTELOR RELIGIOASE,MINISTERS OF RELIGION
REPREZENTARE POLITICĂ,POLITICAL REPRESENTATION
REPREZENTARE PROPORȚIONALĂ,PROPORTIONAL REPRESENTATION
REPRODUCERE (BIOLOGICĂ),REPRODUCTION (BIOLOGICAL)
REPRODUCERE CONTROLATĂ LA ANIMALE,ANIMAL BREEDING
REPUBLICĂ,REPUBLIC
RESPONSABIL RECUPERĂRI CREANȚE,DEBT COLLECTORS
RESPONSABILITĂȚI,RESPONSIBILITY
RESPONSABILITĂȚI CASNICE,DOMESTIC RESPONSIBILITIES
RESPONSABILITĂȚI DE STAT,STATE RESPONSIBILITY
RESPONSABILITĂȚI PARENTALE,PARENT RESPONSIBILITY
RESPONSABILITATE POLITICĂ,POLITICAL ACCOUNTABILITY
RESPONSABILITATE SOCIALĂ,SOCIAL RESPONSIBILITY
RESTAURANTE,RESTAURANTS
RESTAURARE URBANĂ,URBAN RENEWAL
RESTRICȚIE PRIVIND PĂRĂSIREA DOMICILIULUI,RESTRICTION ON MOVEMENT (PUNISHMENT)
RESTRICȚII MONETARE,CURRENCY RESTRICTIONS
RESTRICȚII PENTRU FUMĂTORI,SMOKING RESTRICTIONS
RESURSE,RESOURCES
RESURSE ALE SOLULUI,SOIL RESOURCES
RESURSE ALIMENTARE,FOOD RESOURCES
RESURSE BIBLIOTECARE/INFORMAȚIONALE,INFORMATION/LIBRARY RESOURCES
RESURSE CULTURALE,CULTURAL RESOURCES
RESURSE DE APĂ,WATER RESOURCES
RESURSE DE CĂRBUNE,COAL RESOURCES
RESURSE DE COMBUSTIBILI,FUEL RESOURCES
RESURSE DE GAZE NATURALE,GAS RESOURCES
RESURSE DE PETROL,OIL RESOURCES
RESURSE ECONOMICE,ECONOMIC RESOURCES
RESURSE EDUCAȚIONALE,EDUCATIONAL RESOURCES
RESURSE ENERGETICE,ENERGY RESOURCES
RESURSE FINANCIARE,FINANCIAL RESOURCES
RESURSE FORESTIERE,FOREST RESOURCES
RESURSE FUNCIARE,LAND RESOURCES
RESURSE NATURALE,NATURAL RESOURCES
RESURSE REGENERABILE,RENEWABLE RESOURCES
RESURSE UMANE,HUMAN RESOURCES
RESURSE VEGETALE,PLANT RESOURCES
RESUSCITARE,RESUSCITATION
REUȘITĂ ACADEMICĂ,ACADEMIC ACHIEVEMENT
REVOLTĂ RASIALĂ,RACE RIOTS
REVOLTE DE STRADĂ,RIOTS
REZERVE BĂNEȘTI,MONEY SUPPLY
REZERVE NATURALE,NATURE RESERVES
REZERVOARE,RESERVOIRS
REZIDENȚI INSTITUȚIONALIZAȚI,RESIDENTS OF INSTITUTIONS
REZOLVAREA PROBLEMELOR,PROBLEM SOLVING
RISC,RISK
RISC DE RADIAȚII,RADIATION HAZARDS
RISCURI,HAZARDS
RISCURI ALIMENTARE,FOOD HAZARDS
RISCURI DE SĂNĂTATE,HEALTH RISKS
RITURI,RITES
RO_AGRICULTURAL BIOTECHNOLOGY,AGRICULTURAL BIOTECHNOLOGY
RO_BULLYING,BULLYING
RO_CAREGIVERS,CAREGIVERS
RO_CYBERBULLYING,CYBERBULLYING
RO_CYBERCRIME,CYBERCRIME
RO_DOMESTIC AND CLEANING SERVICES EDUCATION,DOMESTIC SERVICES EDUCATION
RO_DRUG ABUSE,DRUG ABUSE
RO_DRUG ADDICTION,DRUG ADDICTION
RO_DRUNKENNESS,DRUNKENNESS
RO_FLEXIBLE WORKING TIME,FLEXIBLE WORKING TIME
RO_FOSTER CHILDREN,FOSTER CHILDREN
RO_HEALTH BEHAVIOUR,HEALTH BEHAVIOUR
RO_INFANT FEEDING,INFANT FEEDING
RO_INFORMATION NEEDS,INFORMATION NEEDS
RO_INFORMATION SERVICES,INFORMATION SERVICES
RO_INFORMATION/LIBRARY SYSTEMS AND SERVICES,INFORMATION/LIBRARY SYSTEMS AND SERVICES
RO_INNOVATION BEHAVIOUR,INNOVATION BEHAVIOUR
RO_MOBILITY AIDS,MOBILITY AIDS
RO_NATIONAL LANGUAGE EDUCATION,NATIONAL LANGUAGE EDUCATION
RO_NON-PROFESSIONAL OCCUPATIONS,NON-PROFESSIONAL OCCUPATIONS
RO_PETROLEUM PRODUCTS,PETROLEUM PRODUCTS
RO_SCHOOL BULLYING,SCHOOL BULLYING
RO_SCHOOL MEALS,SCHOOL MEALS
RO_TELECOMMUNICATIONS EQUIPMENT,TELECOMMUNICATIONS EQUIPMENT
RO_VOUCHER SCHEMES,VOUCHER SCHEMES
RO_WELL-BEING,WELL-BEING
RO_WORKPLACE BULLYING,WORKPLACE BULLYING
RO_ZOONOTIC DISEASES,ZOONOTIC DISEASES
ROL GUVERNAMENTAL,GOVERNMENT ROLE
ROL INTERNAȚIONAL,INTERNATIONAL ROLE
ROL PARENTAL,PARENTAL ROLE
ROLUL CADRULUI DIDACTIC,TEACHER ROLE
ROLUL FEMEILOR,WOMEN'S ROLE
ROLURI,ROLES
ROLURI DE GEN,GENDER ROLE
ROLURI ÎN FAMILIE,FAMILY ROLES
RUJEOLĂ,RUBELLA
S.I.D.A. (BOALA),AIDS (DISEASE)
SABOTAJ,SABOTAGE
SALARIAȚI,EMPLOYEES
SALARII,WAGES
SALARIILE CADRELOR DIDACTICE,TEACHER SALARIES
SALARIU EGAL,EQUAL PAY
SALARIU MIC,LOW PAY
SALVARE MARITIMĂ,SEA RESCUE
SĂNĂTATE,HEALTH
SĂNĂTATE DENTARĂ,DENTAL HEALTH
SĂNĂTATE MENTALĂ,MENTAL HEALTH
SĂNĂTATE ORALĂ,ORAL HEALTH
SĂNĂTATE PUBLICĂ,PUBLIC HEALTH
SĂNĂTATE SEXUALĂ,SEXUAL HEALTH
SANCȚIUNI ECONOMICE,ECONOMIC SANCTIONS
SANCȚIUNI INTERNAȚIONALE,INTERNATIONAL SANCTIONS
SANCȚIUNI SOCIALE,SOCIAL SANCTIONS
SANCȚIUNI SPORTIVE,SPORTING SANCTIONS
SÂNGE,BLOOD
SĂRĂCIE,POVERTY
SARCINĂ (GRAVIDITATE),PREGNANCY
SATE,VILLAGES
SATELIȚI,SATELLITES
SATISFACȚIA CU LOCUL DE MUNCĂ,JOB SATISFACTION
SATISFACȚIE,SATISFACTION
SCĂDEREA POPULAȚIEI,POPULATION DECREASE
SCALE DE ATITUDINE,ATTITUDE SCALES
SCĂRI,STAIRS
SCHI,SKIING
SCHIMB VALUTAR,FOREIGN EXCHANGE
SCHIMBARE ATITUDINALĂ,ATTITUDE CHANGE
SCHIMBARE CLIMATICĂ,CLIMATE CHANGE
SCHIMBARE CONSTITUȚIONALĂ,CONSTITUTIONAL CHANGE
SCHIMBARE CULTURALĂ,CULTURAL CHANGE
SCHIMBARE DE ROL,ROLE CHANGE
SCHIMBARE POLITICĂ,POLITICAL CHANGE
SCHIMBARE SOCIALĂ,SOCIAL CHANGE
SCHIMBARE TEHNOLOGICĂ,INNOVATION
SCHIMBAREA LOCULUI DE MUNCĂ,JOB CHANGING
SCHIMBĂRI DE MEDIU,ENVIRONMENTAL CHANGES
SCHIZOFRENIE,SCHIZOPHRENIA
SCLAVI,SLAVES
SCLAVIE,SLAVERY
SCRIERE CREATIVĂ,CREATIVE WRITING
SCUTIRI DE TAXE ȘI IMPOZITE,TAX RELIEF
SECETĂ,DROUGHTS
SECȚII DE POLIȚIE,POLICE STATIONS
SECTOR PRIVAT,PRIVATE SECTOR
SECTOR PUBLIC,PUBLIC SECTOR
SECURITATE AEROPORTUARĂ,AIRPORT SECURITY
SECURITATE DE STAT,STATE SECURITY
SECURITATE SOCIALĂ,SOCIAL SECURITY
SECURITATEA LOCULUI DE MUNCĂ,JOB SECURITY
SEGREGARE RASIALĂ,RACIAL SEGREGATION
SEGREGARE RELIGIOASĂ,RELIGIOUS SEGREGATION
SELECȚIE A STUDENȚILOR,STUDENT SELECTION
SELECȚIE DE PERSONAL,PERSONNEL SELECTION
SELECȚIE NATURALĂ,NATURAL SELECTION
SEMINARII,SEMINARS
SEMINȚE,SEEDS
SENAT,UPPER HOUSE
SENTINȚĂ CU DETENȚIE,PRISON SENTENCES
SENTINȚE,COURT ORDERS
SENTINȚE CU SUSPENDARE,SUSPENDED SENTENCES
SENZAȚIE,SENSATION
SEPARATISM,SEPARATISM
SERVICII ALE POLIȚIEI,POLICE SERVICES
SERVICII BIBLIOTECARE,LIBRARY SERVICES
SERVICII COMUNITARE DE SĂNĂTATE,COMMUNITY HEALTH SERVICES
SERVICII CONSULARE,CONSULAR SERVICES
SERVICII DE ALIMENTARE CU APĂ (CLĂDIRI),WATER SERVICES (BUILDINGS)
SERVICII DE AMBULANȚĂ,AMBULANCE SERVICES
SERVICII DE COMANDĂ PRIN POȘTĂ,MAIL ORDER SERVICES
SERVICII DE COMBATERE A INCENDIILOR,FIRE-FIGHTING SERVICES
SERVICII DE CURIERAT,DELIVERY SERVICES
SERVICII DE MATERNITATE,MATERNITY SERVICES
SERVICII DE MUTARE,REMOVAL SERVICES
SERVICII DE REPREZENTARE ÎN INSTANȚĂ,COURT SUPPORT SERVICES
SERVICII DE RESPIRO,RESPITE CARE
SERVICII DE SALVARE,RESCUE SERVICES
SERVICII DE SĂNĂTATE,HEALTH SERVICES
SERVICII DE SĂNĂTATE DE STAT,STATE HEALTH SERVICES
SERVICII DE SĂNĂTATE ÎN UNITĂȚI PRIVATE,PRIVATE HEALTH SERVICES
SERVICII DE SECURITATE,SECURITY SERVICES
SERVICII DE URGENȚĂ ȘI PROTECȚIE,EMERGENCY AND PROTECTIVE SERVICES
SERVICII DE VÂNZARE CU AMĂNUNTUL,RETAIL SERVICES
SERVICII EDUCAȚIONALE,EDUCATIONAL PROVISION
SERVICII FINANCIARE,FINANCIAL SERVICES
SERVICII GUVERNAMENTALE LOCALE,LOCAL GOVERNMENT SERVICES
SERVICII LA GHIȘEU,COUNTER SERVICES
SERVICII ONLINE,ONLINE SERVICES
SERVICII PENTRU CONSUMATORI,CONSUMER SERVICES
SERVICII PENTRU OCUPAREA FORȚEI DE MUNCĂ,EMPLOYMENT SERVICES
SERVICII POȘTALE,POSTAL SERVICES
SERVICII PUBLICE,PUBLIC SERVICES
SERVICII SOCIALE,SOCIAL SERVICES
SERVICII SOCIALE DE ÎNGRIJIRE PERSONALĂ,PERSONAL SOCIAL SERVICES
SERVICII SPITALICEȘTI,HOSPITAL SERVICES
SERVICIU MILITAR,MILITARY SERVICE
SERVICIU MILITAR OBLIGATORIU,CONSCRIPTION
SERVICIUL DE RELAȚII CU CLIENȚI,CUSTOMER SERVICE
SERVICIUL DE URMĂRIRE PENALĂ,PROSECUTION SERVICE
SERVITORI,SERVANTS
SEXUL LA VÂRSTĂ MINORĂ,UNDERAGE SEX
SFAT,ADVICE
SFATURI MEDICALE,HEALTH ADVICE
SIGURANȚA COPILULUI,CHILD SAFETY
SIGURANȚĂ DOMESTICĂ,DOMESTIC SAFETY
SIGURANȚĂ FEROVIARĂ,RAIL SAFETY
SIGURANȚĂ ÎN TRAFICUL AERIAN,AIR SAFETY
SIGURANȚA PRODUSELOR,PRODUCT SAFETY
SIGURANȚĂ PROFESONALĂ,OCCUPATIONAL SAFETY
SIGURANȚA REACTOARELOR NUCLEARE,NUCLEAR REACTOR SAFETY
SIGURANȚĂ RUTIERĂ,ROAD SAFETY
SIGURANȚA TRANSPORTURILOR,TRANSPORT SAFETY
SIGURANȚA VEHICULELOR,VEHICLE SAFETY
SIKHISM,SIKHISM
SILVICULTURĂ,FORESTRY
SIMPTOME,SYMPTOMS
SINDICATE,TRADE UNIONS
SINOD GENERAL,GENERAL SYNOD
SINUCIDERE,SUICIDE
SISTEM CARDIOVASCULAR,CARDIOVASCULAR SYSTEM
SISTEM DIGESTIV,DIGESTIVE SYSTEM
SISTEM HEMATOLOGIC,HAEMATOLOGIC SYSTEM
SISTEM IMUNITAR,IMMUNE SYSTEM
SISTEM LIMFATIC,LYMPHATIC SYSTEM
SISTEM LOCOMOTOR,MUSCULOSKELETAL SYSTEM
SISTEM NERVOS,NERVOUS SYSTEM
SISTEM RESPIRATOR,RESPIRATORY SYSTEM
SISTEM SENZORIAL,SENSORY SYSTEM
SISTEM UROGENITAL,UROGENITAL SYSTEM
SISTEM ZECIMAL,DECIMAL SYSTEM
SISTEME ANATOMICE,ANATOMICAL SYSTEMS
SISTEME DE ALARMĂ,INTRUDER ALARM SYSTEMS
SISTEME DE ALARMĂ PENTRU ASISTENȚĂ,ASSISTANCE ALARM SYSTEMS
SISTEME DE COMUNICAȚII,COMMUNICATION SYSTEMS
SISTEME DE ÎNCĂLZIRE,HEATING SYSTEMS
SISTEME DE PARTID,PARTY SYSTEMS
SISTEME DE SECURITATE,SECURITY SYSTEMS
SISTEME DE SIGURANȚĂ ALE VEHICULELOR,VEHICLE RESTRAINT SYSTEMS
SISTEME DE SUPRAVEGHERE,SECURITY SURVEILLANCE SYSTEMS
SISTEME DE TIMP,TIME SYSTEMS
SISTEME ECONOMICE,ECONOMIC SYSTEMS
SISTEME EDUCAȚIONALE,EDUCATIONAL SYSTEMS
SISTEME ELECTORALE,ELECTORAL SYSTEMS
SISTEME LEGALE,LEGAL SYSTEMS
SISTEME PARLAMENTARE,PARLIAMENTARY SYSTEMS
SISTEME POLITICE,POLITICAL SYSTEMS
SISTEME SOCIALE,SOCIAL SYSTEMS
SISTEMUL DE JUSTIȚIE PENALĂ,CRIMINAL JUSTICE SYSTEM
SISTEMUL MONETAR EUROPEAN,EUROPEAN MONETARY SYSTEM
SISTEMUL MONETAR INTERNAȚIONAL,INTERNATIONAL MONETARY SYSTEM
SOCIABILITATE,SOCIABILITY
SOCIALISM,SOCIALISM
SOCIALIZARE,SOCIALIZATION
SOCIALIZARE ECONOMICĂ,ECONOMIC SOCIALIZATION
SOCIALIZARE POLITICĂ,POLITICAL SOCIALIZATION
SOCIETĂȚI CONTEMPORANE,CONTEMPORARY SOCIETY
SOCIETĂȚI DE CONSUM,CONSUMER SOCIETIES
SOCIETĂȚI FEUDALE,FEUDAL SOCIETIES
SOCIETĂȚI INDUSTRIALE,INDUSTRIAL SOCIETIES
SOCIETĂȚI POLITICE,POLITICAL SOCIETIES
SOCIETĂȚI RELIGIOASE,RELIGIOUS SOCIETIES
SOCIETĂȚI SECRETE,SECRET SOCIETIES
SOCIETĂȚI ȘTIINȚIFICE,LEARNED SOCIETIES
SOCIETATE A VIITORULUI,FUTURE SOCIETY
SOCIETATE ÎN SCHIMBARE,CHANGING SOCIETY
SOCIETATE INFORMAȚIONALĂ,INFORMATION SOCIETY
SOCIOLINGVISTICĂ,SOCIOLINGUISTICS
SOCIOLOGIA PROFESIILOR,OCCUPATIONAL SOCIOLOGY
SOCIOLOGIE,SOCIOLOGY
SOCIOLOGIE EDUCAȚIONALĂ,EDUCATIONAL SOCIOLOGY
SOCIOLOGIE RURALĂ,RURAL SOCIOLOGY
SOCIOLOGIE URBANĂ,URBAN SOCIOLOGY
SOCIOMETRIE,SOCIOMETRY
SOȚI SAU SOȚII,SPOUSES
SOLUȚIONARE ALTERNATIVĂ A DISPUTELOR,ALTERNATIVE DISPUTE RESOLUTION (ADR)
SOLUȚIONAREA CONFLICTULUI,CONFLICT RESOLUTION
SOLUȚIONAREA PLÂNGERILOR,REDRESS OF GRIEVANCES
SOMAȚII,SUMMONS
SOMN,SLEEP
SONDAJE,SURVEYS
SONDAJE DE OPINIE PUBLICĂ,PUBLIC OPINION POLLS
SONDAJE LA IEȘIREA DE LA URNE,EXIT POLLS
SPAȚII URBANE,URBAN SPACES
SPECIALIȘTI,SPECIALISTS
SPECIALIZARE,SPECIALIZATION
SPECIALIZĂRI MEDICALE,MEDICAL SPECIALITIES
